"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,3049786,0.17,,12511,8360366,Sell,Equity Shares,3037275,0.17,19-Aug-24,19-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168833_1229386_20082024064205_WEB.xml
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,3136616,0.18,,18883,12284268,Sell,Equity Shares,3117733,0.18,14-Aug-24,14-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168833_1229386_20082024064205_WEB.xml
APOLLO,Apollo Micro Systems Limited,7(2),KARUNAKAR REDDY BADDAM,Promoters,Equity Shares,168922900,55.12,,3000000,329610000,Pledge,Equity Shares,168922900,55.12,16-Aug-24,16-Aug-24,19-Aug-24,Pledge Creation,-,-,0,0,0,0,NA,-,20-08-2024 18:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168831_1229383_20082024064016_WEB.xml
SANGINITA,Sanginita Chemicals Limited,7(2),Sanginita Industries LLP,Promoters,Equity Shares,4322954,16.69,,68772,1120404,Sell,Equity Shares,4254182,16.42,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168829_1229380_20082024063737_WEB.xml
SANGINITA,Sanginita Chemicals Limited,7(2),Sanginita Industries LLP,Promoters,Equity Shares,4254182,16.42,,75602,1213481,Sell,Equity Shares,4178580,16.13,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168829_1229380_20082024063737_WEB.xml
SANGINITA,Sanginita Chemicals Limited,7(2),Sanginita Industries LLP,Promoters,Equity Shares,4379370,16.91,,56416,948236,Sell,Equity Shares,4322954,16.69,12-Aug-24,12-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168829_1229380_20082024063737_WEB.xml
ZOTA,Zota Health Care LImited,7(2),BHIKHALAL CHHOTALAL DOSHI,Promoter Group,Equity Shares,Nil,0,,4912,2500208,Buy,Equity Shares,4912,0.06,14-Aug-24,14-Aug-24,19-Aug-24,Preferential Offer,-,-,0,0,0,0,NSE,-,20-08-2024 18:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168827_1229373_20082024062934_WEB.xml
ZOTA,Zota Health Care LImited,7(2),BHIKHALAL CHHOTALAL DOSHI,Promoter Group,Warrants,Nil,0,,14734,1874901,Buy,Warrants,14734,0.06,14-Aug-24,14-Aug-24,19-Aug-24,Preferential Offer,-,-,0,0,0,0,NSE,-,20-08-2024 18:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168827_1229373_20082024062934_WEB.xml
UTIAMC,UTI Asset Management Company Limited,7(2),Ankit Agarwal,Employees/Designated Employees,Equity Shares,Nil,0,,1400,1457190,Buy,Equity Shares,1400,0,16-Aug-24,16-Aug-24,19-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 18:19,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168825_1229365_20082024061950_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Girish Venkataraman,Employees/Designated Employees,Equity Shares,523070,0.14,,75000,80251500,Sell,Equity Shares,448070,0.12,16-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168823_1229360_20082024061630_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Raghuvir Mukherji,Employees/Designated Employees,Equity Shares,20338,0.01,,9600,10170144,Sell,Equity Shares,10738,0,16-Aug-24,16-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168823_1229360_20082024061630_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Shailendra Sharma,Employees/Designated Employees,Equity Shares,39406,0.01,,1000,1069950,Sell,Equity Shares,38406,0.01,16-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168823_1229360_20082024061630_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Raghuvir Mukherji,Employees/Designated Employees,Equity Shares,20338,0.01,,9600,10170144,Pledge Revoke,Equity Shares,20338,0.01,16-Aug-24,16-Aug-24,16-Aug-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,20-08-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168823_1229360_20082024061630_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Shikhar Prabhakar,Employees/Designated Employees,Equity Shares,19515,0.01,,3515,3754442,Sell,Equity Shares,16000,0,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168823_1229360_20082024061630_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),SIDHARTHA SHAW,Employees/Designated Employees,Equity Shares,149128,0.04,,10000,10706000,Sell,Equity Shares,139128,0.04,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168823_1229360_20082024061630_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Girish Venkataraman,Employees/Designated Employees,Equity Shares,448070,0.12,,48070,52626555,Sell,Equity Shares,400000,0.11,19-Aug-24,19-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168823_1229360_20082024061630_WEB.xml
SABAR,Sabar Flex India Limited,7(2),HIKMATBAHADUR KRISHABAHADUR KUNWAR,Promoters,Equity Shares,5357388,35.55,,520000,12876357,Sell,Equity Shares,4837738,32.1,22-Jul-24,13-Aug-24,17-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168822_1229347_20082024060822_WEB.xml
SABAR,Sabar Flex India Limited,7(2),HIKMATBAHADUR KRISHABAHADUR KUNWAR,Promoters,Equity Shares,5357388,35.55,,520000,12876357,Sell,Equity Shares,4837738,32.1,22-Jul-24,13-Aug-24,17-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 18:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168821_1229343_20082024060329_WEB.xml
CYBERTECH,Cybertech Systems And Software Limited,7(2),AMBADAS BHAWANIDAS BHORE,-,Equity Shares,57450,0.19,,10000,1707000,Sell,Equity Shares,47450,0.15,16-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:59,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168818_1229336_20082024055958_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,7865747,0.32,,21966,19551543,Sell,Equity Shares,7843781,0.32,14-Aug-24,14-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7764566,0.32,,15699,14145583,Sell,Equity Shares,7748867,0.32,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,7778419,0.32,,13853,12480154,Sell,Equity Shares,7764566,0.32,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7833862,0.32,,55443,55443,Sell,Equity Shares,7778419,0.32,14-Aug-24,14-Aug-24,19-Aug-24,Off Market,-,-,0,0,0,0,NA,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7843781,0.32,,9919,8827878,Sell,Equity Shares,7833862,0.32,14-Aug-24,14-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7748867,0.32,,400,400,Sell,Equity Shares,7748467,0.32,16-Aug-24,16-Aug-24,20-Aug-24,Off Market,-,-,0,0,0,0,NA,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7919754,0.32,,54007,54007,Sell,Equity Shares,7865747,0.32,13-Aug-24,13-Aug-24,16-Aug-24,Off Market,-,-,0,0,0,0,NA,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,7949171,0.32,,17088,15485244,Sell,Equity Shares,7932083,0.32,13-Aug-24,13-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7932083,0.32,,12329,11169677,Sell,Equity Shares,7919754,0.32,13-Aug-24,13-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168816_1229322_20082024054826_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),SUMITRA ASHISH JOSHI,-,Equity Shares,58377,0.03,,20000,1445460,Sell,Equity Shares,38377,0.02,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168813_1229305_20082024053004_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Om Prakash Manchanda,Director,Equity Shares,904164,1.08,,12500,41027618,Sell,Equity Shares,891664,1.07,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:17,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168811_1229292_20082024051711_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Dr. Lal PathLabs Employees Welfare Trust,Other,Equity Shares,323729,0.39,,26687,26577315,Sell,Equity Shares,297042,0.36,19-Aug-24,20-Aug-24,20-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 17:17,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168811_1229292_20082024051711_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Om Prakash Manchanda,Director,Equity Shares,914500,1.09,,4500,15038240,Sell,Equity Shares,910000,1.09,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:17,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168811_1229292_20082024051711_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Om Prakash Manchanda,Director,Equity Shares,891664,1.07,,22836,24228985,Buy,Equity Shares,914500,1.09,19-Aug-24,19-Aug-24,20-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 17:17,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168811_1229292_20082024051711_WEB.xml
TOKYOPLAST,Tokyo Plast International Limited,7(2),Priti Haresh Shah,Promoter Group,Equity Shares,812623,8.56,,9905,1136412,Buy,Equity Shares,822528,8.65,16-Aug-24,20-Aug-24,20-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,20-08-2024 17:14,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168809_1229286_20082024051404_WEB.xml
LAXMICOT,Laxmi Cotspin Limited,7(2),RAJESH PURANMAL BANSAL,Promoters,Equity Shares,825927,4.81,,10000,330000,Sell,Equity Shares,815927,4.76,20-Aug-24,20-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 17:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168806_1229264_20082024050052_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Ashutosh Vidwans,Employees/Designated Employees,Equity Shares,5364,0,,990,2768203,Sell,Equity Shares,4374,0,19-Aug-24,19-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 16:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168804_1229249_20082024045040_WEB.xml
COSMOFIRST,COSMO FIRST LIMITED,7(2),ANIL KUMAR JAIN,Director,Equity Shares,29500,0.11,,28500,25944351,Sell,Equity Shares,1000,0.01,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 16:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168802_1229225_20082024043748_WEB.xml
INFY,Infosys Limited,7(2),Infosys Employee Benefits Trust,Other,Equity Shares,10242883,0.25,,230,416530,Sell,Equity Shares,10242653,0.25,13-Aug-24,13-Aug-24,19-Aug-24,Off Market,-,-,0,0,0,0,NA,-,20-08-2024 16:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168797_1229212_20082024041507_WEB.xml
HOMESFY,Homesfy Realty Limited,7(2),Ashish Kukreja,Promoters,Equity Shares,1471512,48.16,,300,175200,Buy,Equity Shares,1471812,48.17,16-Aug-24,19-Aug-24,20-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,20-08-2024 16:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168795_1229205_20082024040518_WEB.xml
JUBLPHARMA,Jubilant Pharmova Limited,7(2),Jubilant Employees Welfare Trust,Other,Equity Shares,930402,0.58,,22858,19725311,Sell,Equity Shares,907544,0.57,14-Aug-24,14-Aug-24,16-Aug-24,ESOP,-,-,0,0,0,0,NA,-,20-08-2024 15:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168792_1229193_20082024035742_WEB.xml
WALCHANNAG,Walchandnagar Industries Limited,7(2),Walchand Great Achievers Private Limited,Promoter Group,Equity Shares,5562393,10,,4857121,1734235053,Pledge,Equity Shares,705272,1.27,13-Aug-24,13-Aug-24,16-Aug-24,Pledge Creation,-,-,0,0,0,0,NA,-,20-08-2024 15:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168791_1229191_20082024035741_WEB.xml
WALCHANNAG,Walchandnagar Industries Limited,7(2),Walchand Chiranika Trading Private Limited,Promoter Group,Equity Shares,342090,0.62,,342090,122143234,Pledge,Equity Shares,Nil,0,13-Aug-24,13-Aug-24,16-Aug-24,Pledge Creation,-,-,0,0,0,0,NA,-,20-08-2024 15:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168791_1229191_20082024035741_WEB.xml
WALCHANNAG,Walchandnagar Industries Limited,7(2),Walchand Kamdhenu Commercials Private Limited,Promoters,Equity Shares,6095168,11,,5345554,1908630055,Pledge,Equity Shares,749614,1.35,13-Aug-24,13-Aug-24,16-Aug-24,Pledge Creation,-,-,0,0,0,0,NA,-,20-08-2024 15:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168791_1229191_20082024035741_WEB.xml
AKSHOPTFBR,Aksh Optifibre Limited,7(2),Dr. Kailash Shantilal Choudhari,Promoters,Equity Shares,16561232,10.18,,300000,2743797,Sell,Equity Shares,16261232,10,16-Aug-24,16-Aug-24,20-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 15:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168785_1229161_20082024032434_WEB.xml
DIAMONDYD,Prataap Snacks Limited,7(2),Rajesh Kumar Mehta,Promoters,Equity Shares,342456,1.43,,10045,9238612,Sell,Equity Shares,332411,1.39,16-Aug-24,16-Aug-24,17-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 14:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168781_1229122_20082024023746_WEB.xml
SHALPAINTS,Shalimar Paints Limited,7(2),Veera Gupta,Other,Equity Shares,2134027,2.55,,93500,12617615,Sell,Equity Shares,2040527,2.44,13-Aug-24,16-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 14:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168779_1229113_20082024022701_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Endeavour Holding Trust,Promoter Group,Equity Shares,8151149,6.3,,10500,77700630,Sell,Equity Shares,8140649,6.29,19-Aug-24,19-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 14:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168777_1229104_20082024021518_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Kritika Sharma,Other,Equity Shares,22,0,,22,160600,Sell,Equity Shares,Nil,0,14-Aug-24,14-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 14:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168777_1229104_20082024021518_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Hitesh Oberoi,Promoters,Equity Shares,6497108,5.02,,14245,105413000,Sell,Equity Shares,6482863,5.01,19-Aug-24,19-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 14:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168777_1229104_20082024021518_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Kapil Kapoor,Director,Equity Shares,2345175,1.81,,9016,66832994,Sell,Equity Shares,2336159,1.81,19-Aug-24,19-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 14:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168777_1229104_20082024021518_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Bhisham Dhingra,Employees/Designated Employees,Equity Shares,221,0,,221,1598990,Sell,Equity Shares,Nil,0,14-Aug-24,14-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 14:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168777_1229104_20082024021518_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Sunita Daryani,Employees/Designated Employees,Equity Shares,474,0,,124,917775,Sell,Equity Shares,350,0,16-Aug-24,16-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,BSE,-,20-08-2024 14:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168777_1229104_20082024021518_WEB.xml
HDFCBANK,HDFC Bank Limited,7(2),Ajay Kapoor,Other,Equity Shares,161210,0,,2500,4080000,Sell,Equity Shares,158710,0,16-Aug-24,16-Aug-24,18-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,20-08-2024 13:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168775_1229097_20082024014126_WEB.xml
PARADEEP,Paradeep Phosphates Limited,7(2),Rajeev Nambiar,Employees/Designated Employees,Equity Shares,Nil,0,,11000,927960,Buy,Equity Shares,11000,0,14-Aug-24,14-Aug-24,16-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,20-08-2024 12:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168773_1229064_20082024123704_WEB.xml
PARADEEP,Paradeep Phosphates Limited,7(2),Rajeev Nambiar,Employees/Designated Employees,Equity Shares,11000,0,,22000,1878140,Buy,Equity Shares,33000,0,16-Aug-24,16-Aug-24,19-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,20-08-2024 12:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168773_1229064_20082024123704_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,685947,1.44,,4457,10948817,Buy,Equity Shares,690404,1.45,16-Aug-24,16-Aug-24,19-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,20-08-2024 11:34,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168771_1229019_20082024113422_WEB.xml
REXPIPES,Rex Pipes And Cables Industries Limited,7(2),MR. SHARWAN KUMAR KALER,Promoters,Equity Shares,1866500,19.75,,2000,163000,Buy,Equity Shares,1868500,19.77,16-Aug-24,16-Aug-24,17-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,20-08-2024 11:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168769_1229007_20082024110138_WEB.xml
AGSTRA,AGS Transact Technologies Limited,7(2),Ravi Goyal Family Trust (Represented by its Trustees),Promoter Group,Warrants,Nil,0,,6900000,136706250,Buy,Warrants,6900000,34.31,14-Aug-24,14-Aug-24,16-Aug-24,Preferential Offer,-,-,0,0,0,0,NA,-,19-08-2024 23:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168766_1228990_19082024110758_WEB.xml
AGSTRA,AGS Transact Technologies Limited,7(2),Anupama Goyal Family Trust (Represented by its Trustees),Promoter Group,Warrants,Nil,0,,6900000,136706250,Buy,Warrants,6900000,34.31,14-Aug-24,14-Aug-24,16-Aug-24,Preferential Offer,-,-,0,0,0,0,NA,-,19-08-2024 23:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168766_1228990_19082024110758_WEB.xml
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Virat S Diwanji,-,Equity Shares,104567,0.01,,750,1333278,Sell,Equity Shares,103817,0.01,14-Aug-24,16-Aug-24,17-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,19-08-2024 18:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168764_1228958_19082024065228_WEB.xml
SUBEXLTD,Subex Limited,7(3),Shiva Shankar Naga Roddam,-,Equity Shares,950000,0.17,,400000,12206000,Sell,Equity Shares,550000,0.1,13-Aug-24,13-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,19-08-2024 18:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168763_1228956_19082024065137_WEB.xml
SUBEXLTD,Subex Limited,7(3),Shiva Shankar Naga Roddam,-,Equity Shares,550000,0.1,,548099,16684134,Sell,Equity Shares,1901,0,19-Aug-24,19-Aug-24,19-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,19-08-2024 18:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168763_1228956_19082024065137_WEB.xml
WIPRO,Wipro Limited,7(3),Gautam Malik,-,ADR/GDR/FCCB,8742,0,,4371,2225686,Sell,ADR/GDR/FCCB,4371,0,16-Aug-24,16-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NA,-,19-08-2024 17:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168759_1228934_19082024054739_WEB.xml
HDFCAMC,HDFC Asset Management Company Limited,7(2),VIKASH AGARWAL,Employees/Designated Employees,Equity Shares,37455,0.02,,500,2121500,Sell,Equity Shares,36955,0.02,16-Aug-24,16-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,19-08-2024 16:35,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168757_1228909_19082024043523_WEB.xml
CAMS,Computer Age Management Services Limited,7(2),Subramanian B,-,Equity Shares,5451,0,,200,856000,Sell,Equity Shares,5251,0,16-Aug-24,16-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,BSE,-,19-08-2024 16:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168756_1228906_19082024043354_WEB.xml
CAMS,Computer Age Management Services Limited,7(2),Anuj Kumar,Director,Equity Shares,36488,0,,1000,4291026,Sell,Equity Shares,35488,0,16-Aug-24,16-Aug-24,17-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,19-08-2024 16:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168756_1228906_19082024043354_WEB.xml
CAMS,Computer Age Management Services Limited,7(2),-,Employees/Designated Employees,Equity Shares,5451,0,,200,856000,Sell,Equity Shares,5251,0,16-Aug-24,16-Aug-24,16-Aug-24,Market Sale,-,-,0,0,0,0,BSE,-,19-08-2024 16:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168756_1228906_19082024043354_WEB.xml
CAMS,Computer Age Management Services Limited,7(2),Anuj Kumar,Director,Equity Shares,36488,0,,1000,4291026,Sell,Equity Shares,35488,0,16-Aug-24,16-Aug-24,17-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,19-08-2024 16:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168756_1228906_19082024043354_WEB.xml
LTTS,L&T Technology Services Limited,7(2),Jagyan Prakash Mishra,Employees/Designated Employees,Equity Shares,4006,0,,756,3648944,Pledge Revoke,Equity Shares,4006,0,13-Aug-24,14-Aug-24,16-Aug-24,Revokation of Pledge,-,-,0,0,0,0,-,-,19-08-2024 16:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1168753_1228897_19082024042710_WEB.xml
